Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks,Seed,CT Tree Stepback,CT Tree Precision,Hostname,Oversized Geography Factor
2019-10-20T22:02:14.328,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,21455723,1600000,true,43099,P1Y,P10Y,3844056,10621565,10621565,1855-01-01,1973-01-01,30712.792965139,5764.567374168,1398.605988612,/home/tsd4/results/ss-scot-final/2019-10-20T22:02:14.328,0.0,0.0,0.5,0.0,true,P147D,91266.497112,TD,4.0,499.035204173,19376796,11002854,-669085256,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,3.0
2019-10-21T08:45:40.958,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,32083060,2400000,true,43099,P1Y,P10Y,5749451,15908195,15908195,1855-01-01,1973-01-01,62685.8000667,10199.073745551,2746.871979881,/home/tsd4/results/ss-scot-final/2019-10-21T08:45:40.958,0.0,0.0,0.25,0.0,true,P147D,110945.178992,TD,2.0,532.329630087,29328312,16790794,1469079720,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,4.0
2019-10-22T06:02:07.350,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,2480032,200000,true,43099,P1Y,P10Y,457402,1216418,1216418,1855-01-01,1973-01-01,1948.219445067,1194.672338887,117.119484801,/home/tsd4/results/ss-scot-final/2019-10-22T06:02:07.350,0.0,0.0,0.0,0.0,true,P147D,44692.20912,TD,0.0,419.819559638,2252904,1271489,1210871624,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-22T07:04:11.515,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,5000344,400000,true,43099,P1Y,P10Y,920928,2452651,2452651,1855-01-01,1973-01-01,4292.767004695,1822.414042029,241.144956804,/home/tsd4/results/ss-scot-final/2019-10-22T07:04:11.515,0.0,0.0,0.0,0.0,true,P147D,50284.810832,TD,0.0,481.899175774,4540116,2563557,1968915986,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-22T08:59:20.277,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,529577,40000,true,43099,P1Y,P10Y,95228,262005,262005,1855-01-01,1973-01-01,290.170517685,592.504281532,18.326480484,/home/tsd4/results/ss-scot-final/2019-10-22T08:59:20.277,0.0,0.0,0.5,0.0,true,P147D,41224.255344,TD,0.0,268.180910653,465983,260706,986591521,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-22T09:19:20.592,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,532685,40000,true,43099,P1Y,P10Y,95818,263695,263695,1855-01-01,1973-01-01,292.493197835,598.679498789,17.894116511,/home/tsd4/results/ss-scot-final/2019-10-22T09:19:20.592,0.0,0.0,0.5,0.0,true,P147D,42632.685976,TD,0.0,268.075288097,471675,265109,579510627,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-22T09:39:27.118,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,2481923,200000,true,43099,P1Y,P10Y,458055,1216640,1216640,1855-01-01,1973-01-01,1929.049052004,1273.870259737,108.108390589,/home/tsd4/results/ss-scot-final/2019-10-22T09:39:27.118,0.0,0.0,0.0,0.0,true,P147D,47063.769448,TD,0.0,425.15316086,2231446,1251485,-616687342,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-22T10:42:26.124,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,2484008,200000,true,43099,P1Y,P10Y,459447,1216629,1216629,1855-01-01,1973-01-01,1908.439451994,1258.072065635,108.321829046,/home/tsd4/results/ss-scot-final/2019-10-22T10:42:26.124,0.0,0.0,0.0,0.0,true,P147D,46584.667128,TD,0.0,452.735052012,2257053,1275212,-1943152755,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-22T11:45:19.248,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,5008311,400000,true,43099,P1Y,P10Y,923441,2453415,2453415,1855-01-01,1973-01-01,4637.83204991,1839.480600351,248.400044396,/home/tsd4/results/ss-scot-final/2019-10-22T11:45:19.248,0.0,0.0,0.0,0.0,true,P147D,53035.792424,TD,0.0,494.976900828,4554960,2573209,-196399042,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-22T13:46:47.790,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,1216879,100000,true,43099,P1Y,P10Y,225765,597044,597044,1855-01-01,1973-01-01,803.263255044,923.762111199,47.783606208,/home/tsd4/results/ss-scot-final/2019-10-22T13:46:47.790,0.0,0.0,0.0,0.0,true,P147D,43467.143112,TD,0.0,378.422524441,1089481,608624,-100286292,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-22T14:23:17.685,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,21165063,1600000,true,43099,P1Y,P10Y,3809850,10480635,10480635,1855-01-01,1973-01-01,26681.079106716,4831.005458143,1372.623679394,/home/tsd4/results/ss-scot-final/2019-10-22T14:23:17.685,0.0,0.0,1.0,1.0,true,P147D,93775.430856,TD,8.0,532.357188886,18549957,10269180,791826134,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,3.0
2019-10-22T23:44:15.332,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,21294275,1600000,true,43099,P1Y,P10Y,3836949,10518328,10518328,1855-01-01,1973-01-01,25792.094661605,5038.62050155,1407.334974018,/home/tsd4/results/ss-scot-final/2019-10-22T23:44:15.332,0.0,0.0,1.0,1.0,true,P147D,87939.703696,TD,8.0,528.565187372,18607538,10279578,-1276156273,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,3.0
2019-10-23T08:54:01.199,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,21376628,1600000,true,43099,P1Y,P10Y,3842687,10588293,10588293,1855-01-01,1973-01-01,26058.106310097,5008.632051553,1363.044528221,/home/tsd4/results/ss-scot-final/2019-10-23T08:54:01.199,0.0,0.0,1.0,1.0,true,P147D,95386.083632,TD,6.0,506.730074763,18783477,10423934,-873622341,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,3.0
2019-10-23T18:06:52.072,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,21192333,1600000,true,43099,P1Y,P10Y,3814980,10506184,10506184,1855-01-01,1973-01-01,24917.361978898,4894.075760114,1282.649175325,/home/tsd4/results/ss-scot-final/2019-10-23T18:06:52.072,0.0,0.0,1.0,1.0,true,P147D,94253.5426,TD,8.0,562.448979824,18552241,10257971,73603772,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,3.0
2019-10-24T02:58:26.574,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,21404726,1600000,true,43099,P1Y,P10Y,3854580,10615165,10615165,1855-01-01,1973-01-01,25703.965715973,4937.905422483,1355.447586504,/home/tsd4/results/ss-scot-final/2019-10-24T02:58:26.574,0.0,0.0,1.0,1.0,true,P147D,90155.889448,TD,6.0,526.011845152,18765903,10390039,297627019,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,3.0
