Start Time,Reason,Code Version,Inputs Directory,Total Pop,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory
scot-a,dev,src/main/resources/scotland_test_population,20170803-010041:028,0,false,58804,1y,100y,182819,0,0,1/1/1855,1/1/2016,53.984721079,0.0,0.0,results/scot-a/20170803-010041:028
scot-a,dev,src/main/resources/scotland_test_population,20170803-010135:013,0,false,58804,1y,100y,316201,0,0,1/1/1855,1/1/2016,20.729296862,0.0,0.0,results/scot-a/20170803-010135:013
scot-a,dev,src/main/resources/scotland_test_population,20170803-010155:743,0,false,58804,1y,100y,182823,0,0,1/1/1855,1/1/2016,57.455398887,0.0,0.0,results/scot-a/20170803-010155:743
scot-a,dev,src/main/resources/scotland_test_population,20170803-010253:198,0,false,58804,1y,100y,308585,0,0,1/1/1855,1/1/2016,24.261069212,0.0,0.0,results/scot-a/20170803-010253:198
scot-a,dev,src/main/resources/scotland_test_population,20170803-010317:459,0,false,58804,1y,100y,315935,0,0,1/1/1855,1/1/2016,23.244854337,0.0,0.0,results/scot-a/20170803-010317:459
scot-a,dev,src/main/resources/scotland_test_population,20170803-010340:705,0,false,58804,1y,100y,280511,0,0,1/1/1855,1/1/2016,28.39255702,0.0,0.0,results/scot-a/20170803-010340:705
scot-a,dev,src/main/resources/scotland_test_population,20170803-010409:097,0,false,58804,1y,100y,334977,0,0,1/1/1855,1/1/2016,20.446041694,0.0,0.0,results/scot-a/20170803-010409:097
scot-a,dev,src/main/resources/scotland_test_population,20170803-010429:544,0,false,58804,1y,100y,182560,0,0,1/1/1855,1/1/2016,50.830482383,0.0,0.0,results/scot-a/20170803-010429:544
scot-a,dev,src/main/resources/scotland_test_population,20170803-010520:374,0,false,58804,1y,100y,345909,0,0,1/1/1855,1/1/2016,18.022965084,0.0,0.0,results/scot-a/20170803-010520:374
scot-a,dev,src/main/resources/scotland_test_population,20170803-010538:398,0,false,58804,1y,100y,333837,0,0,1/1/1855,1/1/2016,20.611027494,0.0,0.0,results/scot-a/20170803-010538:398
scot-a,dev,src/main/resources/scotland_test_population,20170803-010559:009,1213356,true,58804,1y,100y,182786,96075,182065,1/1/1855,1/1/2016,61.270604123,267.04872172,16.078510818,results/scot-a/20170803-010559:009
scot-a,dev,src/main/resources/scotland_test_population,20170803-011143:407,0,false,58804,1y,100y,344571,0,0,1/1/1855,1/1/2016,24.749273603,0.0,0.0,results/scot-a/20170803-011143:407
scot-a,dev,src/main/resources/scotland_test_population,20170803-011208:156,1212073,true,58804,1y,100y,182521,95818,181798,1/1/1855,1/1/2016,61.476004721,264.601575628,15.959144992,results/scot-a/20170803-011208:156
scot-a,dev,src/main/resources/scotland_test_population,20170803-011750:193,1212788,true,58804,1y,100y,182671,95960,181949,1/1/1855,1/1/2016,61.34177539,265.831774423,15.94164711,results/scot-a/20170803-011750:193
