start.time,action,v.M
20180712-185040:844,RETAIN,14
20180712-184910:098,RETAIN,84
20180712-185120:926,RETAIN,5
20180712-185354:681,RETAIN,8
20180712-185237:746,RETAIN,8
20180712-185221:417,RETAIN,16
20180712-185454:436,RETAIN,9
20180712-185329:619,RETAIN,6
20180712-185440:911,RETAIN,74
20180712-185728:808,RETAIN,39
20180712-185313:439,RETAIN,4
20180712-185800:682,RETAIN,20
20180712-185409:041,RERUN,43
20180712-185448:200,RETAIN,17
20180712-185826:372,RETAIN,18
20180712-185514:127,RETAIN,9
20180712-185736:574,RETAIN,10
20180712-184112:812,RETAIN,8
20180712-185749:721,RETAIN,11
20180712-185631:475,RETAIN,14
20180712-185422:311,RETAIN,14
20180712-190024:379,RETAIN,10
20180712-185433:752,RERUN,32
20180712-185905:188,RETAIN,8
20180712-185848:345,RETAIN,10
20180712-184149:805,RETAIN,15
20180712-185826:475,RETAIN,17
20180712-185846:371,RETAIN,12
20180712-185934:151,RETAIN,2
20180712-185818:515,RETAIN,94
20180712-190231:519,RETAIN,51
20180712-190350:742,RETAIN,46
20180712-190211:646,RETAIN,8
20180712-190350:570,RERUN,45
20180712-190222:178,RETAIN,174
20180712-190255:360,RETAIN,12
20180712-190611:250,RETAIN,25
20180712-190600:592,RETAIN,14
20180712-190800:858,RETAIN,13
20180712-190452:295,RETAIN,56
20180712-190742:573,RERUN,11
20180712-190755:466,RETAIN,16
20180712-190402:430,RETAIN,46
20180712-191018:859,RETAIN,9
20180712-190555:600,RETAIN,24
20180712-190830:182,RERUN,11
20180712-191033:915,RETAIN,0
20180712-185438:705,RETAIN,24
20180712-190416:826,RETAIN,5
20180712-190431:616,RETAIN,12
20180712-190345:949,RETAIN,98
20180712-185525:778,RETAIN,21
20180712-190929:681,RETAIN,96
20180712-191049:427,RETAIN,70
20180712-191330:040,RETAIN,4
20180712-191044:230,RETAIN,54
20180712-191024:925,RETAIN,8
20180712-191130:108,RETAIN,66
20180712-190849:183,RERUN,45
20180712-191137:761,RETAIN,12
20180712-190820:775,RETAIN,14
20180712-191451:697,RETAIN,8
20180712-191557:388,RETAIN,25
20180712-191825:150,RETAIN,9
20180712-191610:677,RETAIN,9
20180712-191508:833,RETAIN,4
20180712-191551:555,RETAIN,64
20180712-191756:324,RETAIN,8
20180712-191545:870,RETAIN,12
20180712-191640:372,RETAIN,94
20180712-191731:230,RERUN,10
20180712-191456:581,RETAIN,78
20180712-191631:743,RETAIN,11
20180712-191712:811,RETAIN,4
20180712-191830:162,RETAIN,101
20180712-191943:222,RETAIN,71
20180712-191916:000,RETAIN,10
20180712-192025:909,RETAIN,8
