Source,NCIP,Separated,Date,freq
STAT,1,YES,1923,6.9249420998155236
SIM,3,NO,1860,776
STAT,1,YES,1922,6.9263008524563565
STAT,1,YES,1921,6.927668653315356
SIM,1,NO,1980,2205
STAT,1,YES,1920,6.9290531327324745
STAT,1,YES,1930,6.915605825050754
SIM,1,NO,1978,2308
SIM,1,NO,1979,2237
SIM,3,NO,1859,761
SIM,3,YES,2002,1
SIM,3,YES,2001,1
SIM,3,YES,2000,1
SIM,3,NO,1854,786
SIM,3,NO,1858,784
STAT,4,YES,1981,0.09357588467236495
SIM,3,NO,1857,752
STAT,4,YES,1982,0.0935576544504305
SIM,3,NO,1856,779
SIM,3,NO,1855,735
STAT,4,YES,1980,0.09359411894924007
STAT,4,YES,1974,0.09370330986055878
STAT,4,YES,1975,0.09368516003660274
STAT,4,YES,1972,0.09373953689889968
STAT,4,YES,1973,0.09372143494073251
STAT,4,YES,1978,0.09363057348895754
STAT,4,YES,1979,0.09361234949555662
STAT,4,YES,1976,0.09366698398473333
STAT,4,YES,1977,0.09364878661780254
STAT,4,YES,1970,0.09377567664403563
STAT,4,YES,1971,0.09375761743681492
STAT,4,YES,1969,0.09379371935736074
STAT,4,YES,1963,0.09390205201382805
STAT,4,YES,1964,0.09388394883633472
STAT,4,YES,1961,0.09393837484673882
STAT,4,YES,1962,0.09392019056582582
STAT,4,YES,1967,0.09382977843787324
STAT,4,YES,1968,0.09381174989988303
STAT,4,YES,1965,0.0938658685415831
STAT,4,YES,1966,0.09384781493363366
STAT,4,YES,1960,0.09395662089669825
STAT,0,NA,2009,68814.07325378916
STAT,0,NA,2005,68867.44339045868
STAT,0,NA,2006,68854.09744186947
STAT,0,NA,2007,68840.7537926142
STAT,0,NA,2008,68827.41240324854
STAT,0,NA,2012,68774.06931304299
STAT,2,YES,2000,5.0149447178664985
STAT,0,NA,2013,68760.73926709867
STAT,2,YES,2002,5.012998564389379
STAT,4,YES,1958,0.09399325754038731
STAT,0,NA,2014,68747.41160464425
STAT,2,YES,2001,5.013971696090132
STAT,0,NA,2015,68734.086388727
STAT,4,YES,1959,0.0939749232203594
STAT,2,YES,2004,5.011052330312631
STAT,2,YES,2003,5.012025411675996
STAT,0,NA,2010,68800.73634354734
STAT,2,YES,2006,5.009106758049089
STAT,0,NA,2011,68787.40168764617
STAT,2,YES,2005,5.010079414770077
STAT,4,YES,1952,0.09410397542826322
STAT,4,YES,1953,0.09408550269985108
STAT,4,YES,1950,0.0941408851714843
STAT,4,YES,1951,0.09412242857631321
STAT,4,YES,1956,0.09403004750152849
STAT,4,YES,1957,0.09401163208132324
STAT,4,YES,1954,0.09406701878693141
STAT,4,YES,1955,0.0940485240910295
STAT,2,YES,2008,5.007162534296056
STAT,2,YES,2007,5.00813444194967
STAT,2,YES,2009,5.006191081717427
STAT,0,NA,2016,68720.76368184929
STAT,0,NA,2017,2416.071482246413
STAT,2,YES,2011,5.00424964792888
STAT,4,YES,1949,0.09415926566375594
STAT,2,YES,2010,5.005220114408191
STAT,4,YES,1947,0.09419585125440566
STAT,2,YES,2013,5.002310207239587
STAT,2,YES,2012,5.00327968461738
STAT,4,YES,1948,0.09417759220165421
STAT,2,YES,2015,5.000372562106457
STAT,2,YES,2014,5.001341181616745
STAT,2,YES,2016,4.999404296314722
STAT,4,YES,1941,0.09430402082529526
STAT,4,YES,1942,0.09428611787932879
STAT,4,YES,1940,0.09432188070299836
STAT,4,YES,1945,0.09423216359716426
STAT,4,YES,1946,0.09421403558881893
STAT,4,YES,1943,0.09426816792308189
STAT,4,YES,1944,0.09425017162137539
SIM,0,NA,1906,180435
SIM,0,NA,1907,180422
SIM,0,NA,1908,180381
SIM,0,NA,1909,180351
SIM,0,NA,1900,180676
SIM,0,NA,1901,180652
SIM,0,NA,1902,180616
SIM,0,NA,1903,180573
SIM,0,NA,1904,180517
SIM,0,NA,1905,180490
STAT,4,YES,1996,0.0933040793171754
STAT,4,YES,1997,0.09328604914934167
STAT,4,YES,1994,0.09334014314717375
STAT,4,YES,1995,0.09332210959665507
STAT,4,YES,1998,0.09326801592888256
STAT,4,YES,1999,0.09324997764113677
STAT,4,YES,1992,0.09337622984567988
STAT,4,YES,1993,0.09335818228376089
STAT,4,YES,1990,0.09341236391036602
STAT,4,YES,1991,0.09339428893009209
STAT,4,YES,1985,0.09350303033553983
STAT,4,YES,1986,0.09348485575936043
STAT,4,YES,1983,0.0935394325017704
STAT,4,YES,1984,0.09352122330372815
STAT,4,YES,1989,0.09343045714607025
STAT,4,YES,1987,0.09346670259393444
STAT,4,YES,1988,0.09344856977067291
SIM,1,YES,1911,7
SIM,1,YES,1910,8
SIM,1,YES,1913,6
SIM,1,YES,1912,8
SIM,1,YES,1915,8
SIM,1,YES,1914,8
SIM,1,YES,1917,8
SIM,1,YES,1916,7
SIM,1,YES,1919,7
SIM,1,YES,1918,7
SIM,1,YES,1900,7
SIM,1,YES,1902,7
SIM,1,YES,1901,9
SIM,1,YES,1904,7
SIM,1,YES,1903,8
SIM,1,YES,1906,7
SIM,1,YES,1905,8
SIM,1,YES,1908,8
SIM,1,YES,1907,7
SIM,1,YES,1909,7
STAT,3,YES,2008,0.8546328774051721
STAT,3,YES,2009,0.8544669539863444
STAT,3,YES,2006,0.8549648677132964
STAT,3,YES,2007,0.8547988534654233
SIM,1,YES,1931,8
SIM,1,YES,1930,7
SIM,1,YES,1933,7
SIM,1,YES,1932,7
SIM,1,YES,1935,7
SIM,1,YES,1934,8
SIM,1,YES,1937,7
STAT,3,YES,2011,0.8541353134155383
SIM,1,YES,1936,8
STAT,3,YES,2012,0.8539696157312218
SIM,1,YES,1939,7
SIM,1,YES,1938,8
STAT,3,YES,2010,0.85430109574825
STAT,3,YES,2015,0.853473057361159
STAT,3,YES,2016,0.8533077087043063
STAT,3,YES,2013,0.853804007252138
STAT,3,YES,2014,0.8536384886121481
SIM,1,YES,1920,8
SIM,1,YES,1922,8
SIM,1,YES,1921,7
SIM,1,YES,1924,7
SIM,1,YES,1923,7
SIM,1,YES,1926,7
STAT,3,YES,2000,0.8559607984162383
SIM,1,YES,1925,8
STAT,3,YES,2001,0.8557949035476806
SIM,1,YES,1928,8
SIM,1,YES,1927,7
STAT,3,YES,2004,0.8552969410205224
SIM,1,YES,1929,7
STAT,3,YES,2005,0.8551309029359943
STAT,3,YES,2002,0.855628955469582
STAT,3,YES,2003,0.8554629637544595
SIM,1,YES,1951,7
STAT,4,YES,1938,0.09435760922633055
SIM,1,YES,1950,7
STAT,4,YES,1939,0.09433970885260243
SIM,1,YES,1953,7
STAT,4,YES,1936,0.09439361881356419
SIM,1,YES,1952,8
STAT,4,YES,1937,0.09437558051693423
SIM,1,YES,1955,7
SIM,1,YES,1954,7
SIM,1,YES,1957,7
SIM,1,YES,1956,8
SIM,1,YES,1959,6
STAT,4,YES,1930,0.09450400782186685
SIM,1,YES,1958,8
STAT,4,YES,1931,0.09448526246736445
STAT,4,YES,1934,0.09442990338074546
STAT,4,YES,1935,0.09441170237244564
STAT,4,YES,1932,0.09446665085850009
STAT,4,YES,1933,0.09444820198252038
SIM,1,YES,1940,7
STAT,4,YES,1927,0.0945605696845315
STAT,4,YES,1928,0.09454164825129335
SIM,1,YES,1942,8
STAT,4,YES,1925,0.09459886001514407
SIM,1,YES,1941,7
STAT,4,YES,1926,0.09457960277991516
SIM,1,YES,1944,8
SIM,1,YES,1943,7
SIM,1,YES,1946,7
STAT,4,YES,1929,0.09452289700039866
SIM,1,YES,1945,7
SIM,1,YES,1948,7
SIM,1,YES,1947,8
STAT,4,YES,1920,0.09469288059052207
SIM,1,YES,1949,8
STAT,4,YES,1923,0.09463649248372104
STAT,4,YES,1924,0.09461796470544488
STAT,4,YES,1921,0.09467384128041623
STAT,4,YES,1922,0.09465517641725962
SIM,1,YES,1971,8
SIM,1,YES,1970,7
SIM,1,YES,1973,7
STAT,4,YES,1916,0.09476397020276914
SIM,1,YES,1972,7
STAT,4,YES,1917,0.09474629116112258
SIM,1,YES,1975,7
STAT,4,YES,1914,0.09479891484764476
SIM,1,YES,1974,8
STAT,4,YES,1915,0.09478220850845515
SIM,1,YES,1977,7
SIM,1,YES,1976,7
SIM,1,YES,1979,7
STAT,4,YES,1918,0.09472857282814108
SIM,1,YES,1978,8
STAT,4,YES,1919,0.0947110571404823
STAT,4,YES,1912,0.09483348554891403
STAT,4,YES,1913,0.0948162931927115
STAT,4,YES,1910,0.09486852101480026
STAT,4,YES,1911,0.09485072717860221
SIM,1,YES,1960,8
SIM,1,YES,1962,8
STAT,4,YES,1905,0.09495876019714172
SIM,1,YES,1961,7
STAT,4,YES,1906,0.0949403064560368
SIM,1,YES,1964,7
STAT,4,YES,1903,0.09499761186462122
SIM,1,YES,1963,7
STAT,4,YES,1904,0.09497749660969682
SIM,1,YES,1966,7
STAT,4,YES,1909,0.09488513609006236
SIM,1,YES,1965,8
SIM,1,YES,1968,8
STAT,4,YES,1907,0.0949221345731159
SIM,1,YES,1967,7
STAT,4,YES,1908,0.09490395614998465
SIM,1,YES,1969,7
STAT,4,YES,1901,0.0950369122010911
STAT,4,YES,1902,0.09501725502841693
STAT,4,YES,1900,0.09505652292237601
SIM,2,YES,1915,6
SIM,2,YES,1916,5
SIM,2,YES,1913,5
SIM,2,YES,1914,6
SIM,2,YES,1919,6
SIM,2,YES,1917,5
SIM,2,YES,1918,6
SIM,1,YES,1991,7
SIM,2,YES,1911,5
SIM,1,YES,1990,7
SIM,2,YES,1912,6
SIM,1,YES,1993,7
SIM,1,YES,1992,8
SIM,2,YES,1910,6
SIM,1,YES,1995,7
SIM,1,YES,1994,7
SIM,1,YES,1997,7
SIM,1,YES,1996,8
SIM,1,YES,1999,8
SIM,1,YES,1998,7
SIM,2,YES,1904,5
SIM,2,YES,1905,6
SIM,2,YES,1902,5
SIM,2,YES,1903,6
SIM,2,YES,1908,6
SIM,2,YES,1909,5
SIM,2,YES,1906,5
SIM,2,YES,1907,6
SIM,2,YES,1900,6
SIM,1,YES,1980,7
SIM,2,YES,1901,6
SIM,1,YES,1982,7
SIM,1,YES,1981,8
SIM,1,YES,1984,7
SIM,1,YES,1983,7
SIM,1,YES,1986,7
SIM,1,YES,1985,8
SIM,1,YES,1988,8
SIM,1,YES,1987,7
SIM,1,YES,1989,7
SIM,2,YES,1937,5
SIM,2,YES,1938,6
SIM,2,YES,1935,5
SIM,2,YES,1936,6
SIM,2,YES,1939,5
SIM,0,NA,1997,176972
SIM,0,NA,1998,176944
SIM,2,YES,1930,7
SIM,0,NA,1999,176907
SIM,2,YES,1933,5
SIM,2,YES,1934,6
SIM,2,YES,1931,5
SIM,2,YES,1932,6
SIM,0,NA,1990,177250
SIM,0,NA,1991,177194
SIM,0,NA,1992,177183
SIM,0,NA,1993,177135
SIM,0,NA,1994,177084
SIM,0,NA,1995,177054
SIM,0,NA,1996,176996
SIM,2,YES,1926,5
SIM,2,YES,1927,6
SIM,2,YES,1924,6
SIM,2,YES,1925,6
SIM,2,YES,1928,6
SIM,2,YES,1929,4
SIM,2,YES,1922,6
SIM,2,YES,1923,5
SIM,2,YES,1920,5
SIM,2,YES,1921,6
STAT,5+,YES,2016,0.010813489797824857
STAT,5+,YES,2015,0.010815587606705663
