Source,Age,NCIY,Date,freq
STAT,15to49,0,1971,76894.8068623491
SIM,15to49,1,2009,4820
STAT,15to49,0,1970,76909.75832816621
SIM,15to49,1,2000,4820
STAT,15to49,0,1977,76805.41247425659
STAT,0to14,0,1998,36007.87700836957
STAT,15to49,0,1976,76820.27796815244
STAT,0to14,0,1999,36000.90651428704
SIM,15to49,1,2002,4832
STAT,15to49,0,1979,76775.70870543866
STAT,0to14,0,1996,36021.82372911337
SIM,15to49,1,2001,4836
STAT,15to49,0,1978,76790.55699813386
STAT,0to14,0,1997,36014.84925533247
SIM,15to49,1,2004,4823
STAT,15to49,0,1973,76864.95654780371
SIM,15to49,1,2003,4832
STAT,15to49,0,1972,76879.87459969605
SIM,15to49,1,2006,4819
STAT,15to49,0,1975,76835.15726094463
SIM,15to49,1,2005,4836
STAT,15to49,0,1974,76850.05161749068
STAT,15to49,0,1948,77237.99479791801
STAT,15to49,0,1947,77252.94351310529
STAT,15to49,0,1949,77223.07769824401
STAT,15to49,0,1944,77298.01068506729
STAT,15to49,0,1943,77313.08383259035
STAT,15to49,0,1946,77267.93096937101
STAT,15to49,0,1945,77282.94366585334
STAT,15to49,0,1940,77358.51859484133
STAT,15to49,0,1942,77328.18635359242
STAT,15to49,0,1941,77343.32675125753
STAT,15to49,0,1959,77074.32882384738
STAT,15to49,0,1958,77089.23514202544
STAT,15to49,0,1955,77133.86364066071
STAT,15to49,0,1954,77148.70955990024
STAT,15to49,0,1957,77104.12816744947
STAT,15to49,0,1956,77119.00517671386
STAT,15to49,0,1951,77193.30769664954
STAT,15to49,0,1950,77208.18033929991
STAT,15to49,0,1953,77163.56968777796
STAT,15to49,0,1952,77178.4354836842
STAT,15to49,0,1929,77523.96759990414
STAT,15to49,0,1926,77568.26528369162
STAT,15to49,0,1925,77583.08122633868
STAT,15to49,0,1928,77538.76566991571
STAT,15to49,0,1927,77553.5314520384
STAT,15to49,0,1922,77627.68360737902
STAT,15to49,0,1921,77642.54664238289
STAT,15to49,0,1924,77597.63589795887
STAT,15to49,0,1923,77612.78293006084
STAT,15to49,0,1920,77657.42756530203
STAT,15to49,0,1937,77403.93719263641
STAT,15to49,0,1936,77419.07962914668
STAT,15to49,0,1939,77373.7290086591
STAT,15to49,0,1938,77388.79729700497
STAT,15to49,0,1933,77464.31599894812
STAT,15to49,0,1932,77479.26815603871
STAT,15to49,0,1935,77434.31244362157
STAT,15to49,0,1934,77449.39271223762
STAT,15to49,0,1931,77494.21748416968
STAT,15to49,0,1930,77509.26460616186
STAT,15to49,1,1885,4956.956458895558
STAT,15to49,1,1886,4955.768086501703
STAT,15to49,1,1883,4958.204988931439
STAT,15to49,1,1884,4957.59345511645
STAT,15to49,1,1889,4953.007183758723
STAT,15to49,1,1887,4954.787077959621
STAT,15to49,1,1888,4953.654773586008
SIM,50+,0,1854,64671
SIM,50+,0,1855,64825
SIM,50+,0,1856,64817
STAT,15to49,1,1881,4960.205658324958
SIM,50+,0,1857,64803
STAT,15to49,1,1882,4959.24119094792
SIM,50+,0,1858,64793
SIM,50+,0,1859,64774
STAT,15to49,1,1880,4961.406421402469
SIM,0to14,0,2010,35804
SIM,0to14,0,2011,35798
SIM,50+,0,1860,64777
SIM,0to14,0,2012,35787
SIM,50+,0,1861,64751
SIM,0to14,0,2013,35787
SIM,50+,0,1862,64748
SIM,0to14,0,2014,35774
STAT,15to49,1,1896,4945.829418566804
