Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180703-161215:629,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,644267,15625,TRUE,58439,1y,10y,134778,270688,270688,1/1/1855,01/01/2015,74.63584586,534.6808839,2.52E-06,src/main/resources/valipop/results/batch54-fs/20180703-161215:629,0,0,0.6,0,TRUE,147,5834.354792,NONE,9,348.4093503
20180703-162255:660,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592519,15625,TRUE,58439,1y,10y,123933,248740,248740,1/1/1855,01/01/2015,61.46376547,221.6785995,2.98E-06,src/main/resources/valipop/results/batch54-fs/20180703-162255:660,0,0,0.3,0.6,TRUE,147,5835.238864,NONE,15,385.6951862
20180703-162255:682,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,610462,15625,TRUE,58439,1y,10y,127766,256281,256281,1/1/1855,01/01/2015,71.77336664,236.4589367,2.82E-06,src/main/resources/valipop/results/batch54-fs/20180703-162255:682,0,0,0.3,0.6,TRUE,147,5911.329552,NONE,70,385.0795338
20180703-162625:253,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,603417,15625,TRUE,58439,1y,10y,126250,253305,253305,1/1/1855,01/01/2015,48.18317599,212.5553282,2.79E-06,src/main/resources/valipop/results/batch54-fs/20180703-162625:253,0,0,0.3,0.3,TRUE,147,5867.74276,NONE,17,360.785578
20180703-162637:386,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594375,15625,TRUE,58439,1y,10y,124549,249475,249475,1/1/1855,01/01/2015,48.29087978,218.285026,2.16E-06,src/main/resources/valipop/results/batch54-fs/20180703-162637:386,0,0,0.3,0.3,TRUE,147,5982.791024,NONE,17,342.8923967
20180703-162655:440,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,599726,15625,TRUE,58439,1y,10y,125513,251793,251793,1/1/1855,01/01/2015,45.63961659,226.8082313,3.15E-06,src/main/resources/valipop/results/batch54-fs/20180703-162655:440,0,0,0.3,0.3,TRUE,147,5928.685976,NONE,43,348.6577918
20180703-162718:978,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,644671,15625,TRUE,58439,1y,10y,134801,270806,270806,1/1/1855,01/01/2015,48.29684737,236.1291157,1.51E-06,src/main/resources/valipop/results/batch54-fs/20180703-162718:978,0,0,0.3,0.3,TRUE,147,6059.25744,NONE,22,342.4184747
20180703-162732:384,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596372,15625,TRUE,58439,1y,10y,124857,250463,250463,1/1/1855,01/01/2015,91.76465413,232.294417,2.59E-06,src/main/resources/valipop/results/batch54-fs/20180703-162732:384,0,0,0.3,0.6,TRUE,147,6125.523608,NONE,21,370.3773935
20180703-161653:258,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,632081,15625,TRUE,58439,1y,10y,132355,265295,265295,1/1/1855,01/01/2015,104.6973229,486.6365162,3.38E-06,src/main/resources/valipop/results/batch54-fs/20180703-161653:258,0,0,0.6,1,TRUE,147,4521.433184,NONE,15,750.7608882
20180703-161653:279,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,661365,15625,TRUE,58439,1y,10y,138424,277538,277538,1/1/1855,01/01/2015,117.4347306,507.3276225,2.65E-06,src/main/resources/valipop/results/batch54-fs/20180703-161653:279,0,0,0.6,1,TRUE,147,5389.933072,NONE,13,746.7154864
20180703-162838:615,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,661739,15625,TRUE,58439,1y,10y,138542,277870,277870,1/1/1855,01/01/2015,68.89046687,246.2336131,2.53E-06,src/main/resources/valipop/results/batch54-fs/20180703-162838:615,0,0,0.3,0.6,TRUE,147,5850.410936,NONE,26,402.9027176
20180703-163406:292,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595897,15625,TRUE,58439,1y,10y,124741,249986,249986,1/1/1855,01/01/2015,51.68114315,272.3635779,2.81E-06,src/main/resources/valipop/results/batch54-fs/20180703-163406:292,0,0,0.3,0.3,TRUE,147,5867.48552,NONE,11,382.0160195
20180703-163430:874,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,599208,15625,TRUE,58439,1y,10y,125391,251701,251701,1/1/1855,01/01/2015,60.83145868,255.6885177,2.29E-06,src/main/resources/valipop/results/batch54-fs/20180703-163430:874,0,0,0.3,0.3,TRUE,147,5920.260472,NONE,18,372.4028727
20180703-163648:417,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592511,15625,TRUE,58439,1y,10y,123962,249069,249069,1/1/1855,01/01/2015,43.38371187,202.3603703,2.48E-06,src/main/resources/valipop/results/batch54-fs/20180703-163648:417,0,0,0.3,1,TRUE,147,6051.024384,NONE,12,356.4380437
