Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-231758:016,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1194071,31250,TRUE,58439,1y,10y,249833,501883,501883,1/1/1855,01/01/2015,69.49462063,242.5422523,2.85E-06,src/main/resources/valipop/results/batch53-fs/20180706-231758:016,0,0,1,0.2,TRUE,147,10637.6533,NONE,46,316.0890172,,
20180706-230132:933,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185246,31250,TRUE,58439,1y,10y,248119,497943,497943,1/1/1855,01/01/2015,173.6968022,601.2444673,2.49E-06,src/main/resources/valipop/results/batch53-fs/20180706-230132:933,0,0,0.4,0.1,TRUE,147,9262.976352,NONE,20,901.2170576,,
20180706-231957:020,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1211859,31250,TRUE,58439,1y,10y,253306,508646,508646,1/1/1855,01/01/2015,71.38915015,247.2844404,3.11E-06,src/main/resources/valipop/results/batch53-fs/20180706-231957:020,0,0,1,0.2,TRUE,147,11447.55982,NONE,35,319.0415032,,
20180706-232048:532,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1329168,31250,TRUE,58439,1y,10y,278209,558234,558234,1/1/1855,01/01/2015,74.47309627,273.7140563,2.57E-06,src/main/resources/valipop/results/batch53-fs/20180706-232048:532,0,0,1,0.2,TRUE,147,11034.64085,NONE,8,326.6897791,,
20180706-232524:336,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1134456,31250,TRUE,58439,1y,10y,237570,475822,475822,1/1/1855,01/01/2015,68.66921986,262.4889027,2.41E-06,src/main/resources/valipop/results/batch53-fs/20180706-232524:336,0,0,1,0.1,TRUE,147,12511.71494,NONE,15,314.7468869,,
20180706-232704:888,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1198548,31250,TRUE,58439,1y,10y,251023,503439,503439,1/1/1855,01/01/2015,71.79298417,250.0091746,2.76E-06,src/main/resources/valipop/results/batch53-fs/20180706-232704:888,0,0,1,0.2,TRUE,147,12213.95186,NONE,37,325.9487081,,
20180706-232659:812,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1197105,31250,TRUE,58439,1y,10y,250345,501609,501609,1/1/1855,01/01/2015,71.13523312,280.4420007,2.83E-06,src/main/resources/valipop/results/batch53-fs/20180706-232659:812,0,0,1,0.1,TRUE,147,10783.90462,NONE,23,327.5521734,,
20180706-230736:612,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1315295,31250,TRUE,58439,1y,10y,275176,552614,552614,1/1/1855,01/01/2015,185.8470601,1114.241168,2.80E-06,src/main/resources/valipop/results/batch53-fs/20180706-230736:612,0,0,0.5,0,TRUE,147,8130.995496,NONE,4,873.2978363,,
20180706-233612:536,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1183576,31250,TRUE,58439,1y,10y,247790,496683,496683,1/1/1855,01/01/2015,71.4140391,282.7829082,2.58E-06,src/main/resources/valipop/results/batch53-fs/20180706-233612:536,0,0,1,0.1,TRUE,147,11300.36842,NONE,17,323.9887613,,
20180706-233821:381,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189560,31250,TRUE,58439,1y,10y,248695,499004,499004,1/1/1855,01/01/2015,70.49062678,277.3732126,2.73E-06,src/main/resources/valipop/results/batch53-fs/20180706-233821:381,0,0,1,0.1,TRUE,147,10590.94267,NONE,15,321.8583057,,
20180706-232933:467,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188324,31250,TRUE,58439,1y,10y,248434,498930,498930,1/1/1855,01/01/2015,174.0620127,628.8227096,2.88E-06,src/main/resources/valipop/results/batch53-fs/20180706-232933:467,0,0,0.4,0.1,TRUE,147,9177.165744,NONE,22,896.8524863,,
