Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-180425:634,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1316049,31250,TRUE,58439,1y,10y,275530,552845,552845,1/1/1855,01/01/2015,82.28414631,515.2571145,2.02E-06,src/main/resources/valipop/results/batch53-fs/20180706-180425:634,0,0,0.2,0,TRUE,147,7433.892448,NONE,31,408.4178611,,
20180706-180844:405,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1194060,31250,TRUE,58439,1y,10y,249905,501344,501344,1/1/1855,01/01/2015,82.54042593,269.3180644,1.93E-06,src/main/resources/valipop/results/batch53-fs/20180706-180844:405,0,0,0.1,0.2,TRUE,147,8616.954032,NONE,21,399.7757692,,
20180706-180842:196,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191664,31250,TRUE,58439,1y,10y,249561,500065,500065,1/1/1855,01/01/2015,83.5109422,286.8311319,1.76E-06,src/main/resources/valipop/results/batch53-fs/20180706-180842:196,0,0,0.1,0.1,TRUE,147,8547.448416,NONE,17,409.75481,,
20180706-180951:737,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1194221,31250,TRUE,58439,1y,10y,249946,501358,501358,1/1/1855,01/01/2015,78.8190309,281.4598244,1.80E-06,src/main/resources/valipop/results/batch53-fs/20180706-180951:737,0,0,0.1,0.2,TRUE,147,7520.488416,NONE,24,395.7059338,,
20180706-180952:097,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1195438,31250,TRUE,58439,1y,10y,250445,501690,501690,1/1/1855,01/01/2015,83.37365478,284.0328181,1.72E-06,src/main/resources/valipop/results/batch53-fs/20180706-180952:097,0,0,0.1,0.2,TRUE,147,8626.354696,NONE,16,408.6828813,,
20180706-180901:727,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1327714,31250,TRUE,58439,1y,10y,277921,557323,557323,1/1/1855,01/01/2015,92.37792985,317.1524458,2.57E-06,src/main/resources/valipop/results/batch53-fs/20180706-180901:727,0,0,0.1,0.1,TRUE,147,8297.39664,NONE,20,432.2289464,,
20180706-181629:193,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188492,31250,TRUE,58439,1y,10y,248682,498694,498694,1/1/1855,01/01/2015,68.35280428,248.3943687,1.84E-06,src/main/resources/valipop/results/batch53-fs/20180706-181629:193,0,0,0.5,0.7,TRUE,147,8453.056608,NONE,20,345.5053197,,
20180706-181758:031,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190154,31250,TRUE,58439,1y,10y,248937,500024,500024,1/1/1855,01/01/2015,77.15516116,254.5980925,2.12E-06,src/main/resources/valipop/results/batch53-fs/20180706-181758:031,0,0,0.5,0.7,TRUE,147,8440.026848,NONE,18,348.209346,,
20180706-181843:304,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1291610,31250,TRUE,58439,1y,10y,269973,542077,542077,1/1/1855,01/01/2015,83.66943979,280.6660256,1.90E-06,src/main/resources/valipop/results/batch53-fs/20180706-181843:304,0,0,0.5,0.7,TRUE,147,8361.528232,NONE,58,363.875071,,
20180706-182001:545,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190398,31250,TRUE,58439,1y,10y,248879,499542,499542,1/1/1855,01/01/2015,80.37658315,248.909695,1.81E-06,src/main/resources/valipop/results/batch53-fs/20180706-182001:545,0,0,0.5,0.7,TRUE,147,8751.035544,NONE,17,351.0855876,,
20180706-181605:397,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189662,31250,TRUE,58439,1y,10y,248961,500051,500051,1/1/1855,01/01/2015,71.15592087,466.603141,1.52E-06,src/main/resources/valipop/results/batch53-fs/20180706-181605:397,0,0,0.2,0,TRUE,147,8571.151368,NONE,80,385.6227523,,
20180706-182018:325,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192688,31250,TRUE,58439,1y,10y,249728,500728,500728,1/1/1855,01/01/2015,79.95431737,271.0627598,1.78E-06,src/main/resources/valipop/results/batch53-fs/20180706-182018:325,0,0,0.2,0.2,TRUE,147,8519.284,NONE,22,383.5407124,,
20180706-182053:777,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188665,31250,TRUE,58439,1y,10y,248792,499063,499063,1/1/1855,01/01/2015,77.32905091,279.223572,2.06E-06,src/main/resources/valipop/results/batch53-fs/20180706-182053:777,0,0,0.2,0.1,TRUE,147,8229.07112,NONE,21,388.146473,,
20180706-182118:336,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191089,31250,TRUE,58439,1y,10y,249416,499767,499767,1/1/1855,01/01/2015,81.05861555,266.0001869,1.73E-06,src/main/resources/valipop/results/batch53-fs/20180706-182118:336,0,0,0.2,0.2,TRUE,147,8395.549584,NONE,19,385.3664818,,
20180706-180411:117,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1078260,31250,TRUE,58439,1y,10y,235141,441416,441416,1/1/1855,01/01/2015,174.4540251,621.6936291,2.51E-06,src/main/resources/valipop/results/batch53-fs/20180706-180411:117,0,0,0,0.1,TRUE,147,7942.638568,NONE,31,1005.638678,,
20180706-182144:751,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188113,31250,TRUE,58439,1y,10y,248717,498846,498846,1/1/1855,01/01/2015,82.29929084,287.1712352,1.56E-06,src/main/resources/valipop/results/batch53-fs/20180706-182144:751,0,0,0.2,0.1,TRUE,147,8632.394808,NONE,20,394.8821506,,
20180706-182230:072,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186058,31250,TRUE,58439,1y,10y,248261,497916,497916,1/1/1855,01/01/2015,76.64735104,262.8346216,2.13E-06,src/main/resources/valipop/results/batch53-fs/20180706-182230:072,0,0,0.2,0.2,TRUE,147,8582.834968,NONE,16,386.2175264,,
20180706-182250:561,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186225,31250,TRUE,58439,1y,10y,248201,497961,497961,1/1/1855,01/01/2015,81.36422536,275.0233361,2.08E-06,src/main/resources/valipop/results/batch53-fs/20180706-182250:561,0,0,0.2,0.2,TRUE,147,8710.966424,NONE,27,398.1716966,,
20180706-182306:158,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190505,31250,TRUE,58439,1y,10y,249141,499136,499136,1/1/1855,01/01/2015,80.9568543,287.7386116,2.14E-06,src/main/resources/valipop/results/batch53-fs/20180706-182306:158,0,0,0.2,0.1,TRUE,147,7099.218528,NONE,19,401.0543732,,
