Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-192212:562,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1330123,31250,TRUE,58439,1y,10y,278470,558619,558619,1/1/1855,01/01/2015,85.93386795,269.5155141,2.26E-06,src/main/resources/valipop/results/batch53-fs/20180706-192212:562,0,0,0.3,0.2,TRUE,147,9324.549792,NONE,38,388.9939173,,
20180706-192209:980,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1320560,31250,TRUE,58439,1y,10y,276367,553947,553947,1/1/1855,01/01/2015,82.29736929,281.6844221,1.72E-06,src/main/resources/valipop/results/batch53-fs/20180706-192209:980,0,0,0.3,0.1,TRUE,147,9345.722032,NONE,22,390.8000758,,
20180706-192320:828,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1243547,31250,TRUE,58439,1y,10y,260094,521957,521957,1/1/1855,01/01/2015,77.84960938,265.2912758,2.30E-06,src/main/resources/valipop/results/batch53-fs/20180706-192320:828,0,0,0.3,0.2,TRUE,147,9232.25868,NONE,21,385.1827505,,
20180706-192148:028,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185661,31250,TRUE,58439,1y,10y,247976,498492,498492,1/1/1855,01/01/2015,78.55670118,448.6927481,2.19E-06,src/main/resources/valipop/results/batch53-fs/20180706-192148:028,0,0,0.5,0,TRUE,147,9111.017864,NONE,44,356.5449337,,
20180706-192214:608,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189206,31250,TRUE,58439,1y,10y,248768,499130,499130,1/1/1855,01/01/2015,71.82894798,445.9813252,2.01E-06,src/main/resources/valipop/results/batch53-fs/20180706-192214:608,0,0,0.5,0,TRUE,147,8189.923288,NONE,10,355.7737499,,
20180706-192435:529,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191530,31250,TRUE,58439,1y,10y,249141,499913,499913,1/1/1855,01/01/2015,78.65587347,274.9334669,1.75E-06,src/main/resources/valipop/results/batch53-fs/20180706-192435:529,0,0,0.3,0.2,TRUE,147,9181.964104,NONE,22,380.0128924,,
20180706-192608:730,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187846,31250,TRUE,58439,1y,10y,248738,499366,499366,1/1/1855,01/01/2015,72.6512575,251.7054369,2.40E-06,src/main/resources/valipop/results/batch53-fs/20180706-192608:730,0,0,0.6,0.6,TRUE,147,8971.229184,NONE,22,340.7136715,,
20180706-192539:411,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185573,31250,TRUE,58439,1y,10y,248084,498040,498040,1/1/1855,01/01/2015,78.49901155,293.2211228,2.17E-06,src/main/resources/valipop/results/batch53-fs/20180706-192539:411,0,0,0.3,0.1,TRUE,147,9131.995448,NONE,22,387.5786302,,
20180706-192730:721,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185153,31250,TRUE,58439,1y,10y,248156,498010,498010,1/1/1855,01/01/2015,79.55379983,279.5449208,1.93E-06,src/main/resources/valipop/results/batch53-fs/20180706-192730:721,0,0,0.3,0.1,TRUE,147,9181.628008,NONE,22,388.3599068,,
20180706-192857:396,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1239983,31250,TRUE,58439,1y,10y,259379,520378,520378,1/1/1855,01/01/2015,76.82471984,261.1475255,2.29E-06,src/main/resources/valipop/results/batch53-fs/20180706-192857:396,0,0,0.6,0.6,TRUE,147,8884.394288,NONE,20,347.2427609,,
