Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180705-155314:416,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595549,15625,TRUE,58439,1y,10y,124699,250069,250069,1/1/1855,01/01/2015,58.91249565,224.1668704,1.64E-06,src/main/resources/valipop/results/batch54-fs/20180705-155314:416,0,0,0.6,0.2,TRUE,147,5965.569112,NONE,43,327.2338516
20180705-155313:224,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592183,15625,TRUE,58439,1y,10y,124060,248755,248755,1/1/1855,01/01/2015,55.97208135,226.2094912,2.75E-06,src/main/resources/valipop/results/batch54-fs/20180705-155313:224,0,0,0.6,0.2,TRUE,147,5971.152848,NONE,33,330.5396451
20180705-155759:864,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,614897,15625,TRUE,58439,1y,10y,128575,258337,258337,1/1/1855,01/01/2015,38.75532792,184.680205,2.13E-06,src/main/resources/valipop/results/batch54-fs/20180705-155759:864,0,0,0.6,0.3,TRUE,147,5902.721664,NONE,25,326.6576191
20180705-155933:928,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596617,15625,TRUE,58439,1y,10y,124892,250490,250490,1/1/1855,01/01/2015,50.44611451,194.2078436,2.19E-06,src/main/resources/valipop/results/batch54-fs/20180705-155933:928,0,0,0.6,0.3,TRUE,147,5939.79192,NONE,11,326.0157654
20180705-160102:059,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,624737,15625,TRUE,58439,1y,10y,130657,262433,262433,1/1/1855,01/01/2015,58.170647,204.9835044,2.54E-06,src/main/resources/valipop/results/batch54-fs/20180705-160102:059,0,0,0.6,0.3,TRUE,147,6025.69048,NONE,31,326.936813
20180705-160222:981,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,665297,15625,TRUE,58439,1y,10y,139234,279494,279494,1/1/1855,01/01/2015,48.77530607,207.0395739,2.32E-06,src/main/resources/valipop/results/batch54-fs/20180705-160222:981,0,0,0.6,0.3,TRUE,147,6046.590544,NONE,20,322.363724
20180705-160253:351,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,614979,15625,TRUE,58439,1y,10y,128888,258161,258161,1/1/1855,01/01/2015,42.5798674,188.7959504,2.66E-06,src/main/resources/valipop/results/batch54-fs/20180705-160253:351,0,0,0.6,0.3,TRUE,147,5916.111416,NONE,33,324.4398153
20180705-160243:705,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,610501,15625,TRUE,58439,1y,10y,127729,256463,256463,1/1/1855,01/01/2015,54.89742613,203.5183083,2.53E-06,src/main/resources/valipop/results/batch54-fs/20180705-160243:705,0,0,0.6,0.3,TRUE,147,5920.079904,NONE,11,323.2222481
20180705-160300:317,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594306,15625,TRUE,58439,1y,10y,124398,249405,249405,1/1/1855,01/01/2015,44.17417306,204.6097157,1.92E-06,src/main/resources/valipop/results/batch54-fs/20180705-160300:317,0,0,0.6,0.3,TRUE,147,5988.382656,NONE,13,317.4343793
20180705-160243:666,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,590944,15625,TRUE,58439,1y,10y,123750,248261,248261,1/1/1855,01/01/2015,58.56527051,219.7832021,2.29E-06,src/main/resources/valipop/results/batch54-fs/20180705-160243:666,0,0,0.6,0.3,TRUE,147,5905.067408,NONE,21,309.1611747
20180705-160326:450,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595677,15625,TRUE,58439,1y,10y,124680,249981,249981,1/1/1855,01/01/2015,57.38485694,233.3913117,2.21E-06,src/main/resources/valipop/results/batch54-fs/20180705-160326:450,0,0,0.6,0.3,TRUE,147,5986.71872,NONE,9,321.9290599
20180705-160327:598,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,652750,15625,TRUE,58439,1y,10y,136510,274086,274086,1/1/1855,01/01/2015,53.25879698,227.6654558,2.35E-06,src/main/resources/valipop/results/batch54-fs/20180705-160327:598,0,0,0.6,0.3,TRUE,147,5978.985264,NONE,24,337.0001133
20180705-154653:811,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595731,15625,TRUE,58439,1y,10y,124638,250157,250157,1/1/1855,01/01/2015,86.1849649,817.1285119,3.77E-06,src/main/resources/valipop/results/batch54-fs/20180705-154653:811,0,0,0.5,0,TRUE,147,5629.204368,NONE,14,735.6290794
20180705-154759:476,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,644561,15625,TRUE,58439,1y,10y,134824,270767,270767,1/1/1855,01/01/2015,94.66102949,819.4533555,2.39E-06,src/main/resources/valipop/results/batch54-fs/20180705-154759:476,0,0,0.5,0,TRUE,147,5526.708784,NONE,24,740.869229
20180705-160711:714,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,598529,15625,TRUE,58439,1y,10y,125212,251306,251306,1/1/1855,01/01/2015,44.53300256,200.7455633,2.13E-06,src/main/resources/valipop/results/batch54-fs/20180705-160711:714,0,0,0.6,0.4,TRUE,147,5943.760896,NONE,9,311.7072165
20180705-160906:106,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,621565,15625,TRUE,58439,1y,10y,129972,260908,260908,1/1/1855,01/01/2015,58.12215479,189.6544775,2.27E-06,src/main/resources/valipop/results/batch54-fs/20180705-160906:106,0,0,0.6,0.4,TRUE,147,6051.083864,NONE,15,300.4826173
20180705-161053:807,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,649635,15625,TRUE,58439,1y,10y,135905,272779,272779,1/1/1855,01/01/2015,50.70100147,199.7032867,2.05E-06,src/main/resources/valipop/results/batch54-fs/20180705-161053:807,0,0,0.6,0.4,TRUE,147,5980.307144,NONE,24,345.5279018
20180705-161202:499,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594151,15625,TRUE,58439,1y,10y,124439,249576,249576,1/1/1855,01/01/2015,41.24172537,193.63906,1.76E-06,src/main/resources/valipop/results/batch54-fs/20180705-161202:499,0,0,0.6,0.4,TRUE,147,6028.820632,NONE,50,312.5572838
20180705-161210:876,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593617,15625,TRUE,58439,1y,10y,124292,249486,249486,1/1/1855,01/01/2015,44.81780062,191.2146057,2.37E-06,src/main/resources/valipop/results/batch54-fs/20180705-161210:876,0,0,0.6,0.4,TRUE,147,5667.82048,NONE,14,323.2511891
20180705-161226:952,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595281,15625,TRUE,58439,1y,10y,124540,250044,250044,1/1/1855,01/01/2015,44.62722351,191.7636687,2.41E-06,src/main/resources/valipop/results/batch54-fs/20180705-161226:952,0,0,0.6,0.4,TRUE,147,5973.21156,NONE,16,320.9232539
20180705-161232:654,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,646241,15625,TRUE,58439,1y,10y,135308,271331,271331,1/1/1855,01/01/2015,46.70934605,193.8116117,2.08E-06,src/main/resources/valipop/results/batch54-fs/20180705-161232:654,0,0,0.6,0.4,TRUE,147,5768.883024,NONE,25,325.2940096
20180705-161227:761,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,621529,15625,TRUE,58439,1y,10y,130163,260774,260774,1/1/1855,01/01/2015,50.56989125,203.4286306,1.88E-06,src/main/resources/valipop/results/batch54-fs/20180705-161227:761,0,0,0.6,0.4,TRUE,147,6016.130488,NONE,8,318.272233
20180705-161342:433,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595357,15625,TRUE,58439,1y,10y,124679,249554,249554,1/1/1855,01/01/2015,47.98869769,199.2729683,2.19E-06,src/main/resources/valipop/results/batch54-fs/20180705-161342:433,0,0,0.6,0.4,TRUE,147,6033.167152,NONE,11,322.1672423
20180705-161347:246,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594219,15625,TRUE,58439,1y,10y,124432,249220,249220,1/1/1855,01/01/2015,43.46210066,198.0930317,2.68E-06,src/main/resources/valipop/results/batch54-fs/20180705-161347:246,0,0,0.6,0.4,TRUE,147,5969.574896,NONE,11,324.1065514
