Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180709-115011:494,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1197007,31250,TRUE,58439,1y,10y,250630,502673,502673,1/1/1855,01/01/2015,80.11131202,278.8349624,1.85E-06,src/main/resources/valipop/results/batch53-fs/20180709-115011:494,0,0,0.5,0.8,TRUE,147,8030.046072,NONE,20,361.326418,,
20180709-114958:024,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1230670,31250,TRUE,58439,1y,10y,257564,516780,516780,1/1/1855,01/01/2015,75.6237491,477.1076475,1.74E-06,src/main/resources/valipop/results/batch53-fs/20180709-114958:024,0,0,0.55,0,TRUE,147,7911.497976,NONE,22,358.2270257,,
20180709-113544:707,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1309824,31250,TRUE,58439,1y,10y,274022,549691,549691,1/1/1855,01/01/2015,197.4983532,682.1012495,2.89E-06,src/main/resources/valipop/results/batch53-fs/20180709-113544:707,0,0,0.55,0.05,TRUE,147,7705.06704,NONE,21,880.9268434,,
20180709-115129:322,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187340,31250,TRUE,58439,1y,10y,248548,498369,498369,1/1/1855,01/01/2015,72.73977294,457.7760376,1.85E-06,src/main/resources/valipop/results/batch53-fs/20180709-115129:322,0,0,0.55,0,TRUE,147,7990.253432,NONE,2,347.9949268,,
20180709-115620:692,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186200,31250,TRUE,58439,1y,10y,248110,498228,498228,1/1/1855,01/01/2015,75.22026651,279.2401087,2.21E-06,src/main/resources/valipop/results/batch53-fs/20180709-115620:692,0,0,0.6,0.05,TRUE,147,8506.122392,NONE,16,341.4158179,,
20180709-115723:590,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1183573,31250,TRUE,58439,1y,10y,247585,496756,496756,1/1/1855,01/01/2015,79.87986506,296.1168842,2.20E-06,src/main/resources/valipop/results/batch53-fs/20180709-115723:590,0,0,0.6,0.05,TRUE,147,8379.15312,NONE,20,348.1105961,,
20180709-115817:972,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188063,31250,TRUE,58439,1y,10y,248718,498383,498383,1/1/1855,01/01/2015,81.65842529,273.7147354,1.85E-06,src/main/resources/valipop/results/batch53-fs/20180709-115817:972,0,0,0.5,0.3,TRUE,147,8448.015152,NONE,22,367.4464506,,
20180709-115840:053,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187526,31250,TRUE,58439,1y,10y,248493,498695,498695,1/1/1855,01/01/2015,78.94633227,272.2579752,1.90E-06,src/main/resources/valipop/results/batch53-fs/20180709-115840:053,0,0,0.5,0.3,TRUE,147,8574.022504,NONE,21,363.4283876,,
20180709-120119:576,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186160,31250,TRUE,58439,1y,10y,248174,497932,497932,1/1/1855,01/01/2015,82.98941378,268.0267557,1.85E-06,src/main/resources/valipop/results/batch53-fs/20180709-120119:576,0,0,0.5,0.9,TRUE,147,8410.625312,NONE,22,362.6602095,,
20180709-120214:444,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190027,31250,TRUE,58439,1y,10y,248776,499805,499805,1/1/1855,01/01/2015,81.51754204,270.9060186,2.19E-06,src/main/resources/valipop/results/batch53-fs/20180709-120214:444,0,0,0.5,0.9,TRUE,147,8259.789848,NONE,21,363.9858207,,
20180709-120154:078,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1268593,31250,TRUE,58439,1y,10y,265578,533016,533016,1/1/1855,01/01/2015,89.65081976,284.4013345,1.90E-06,src/main/resources/valipop/results/batch53-fs/20180709-120154:078,0,0,0.5,0.9,TRUE,147,7899.097616,NONE,44,374.8206263,,
