Source,Age,NCIY,Date,freq
STAT,15to49,0,1976,153647.82156056308
STAT,0to14,0,1999,72005.16233797096
SIM,15to49,1,2002,9672
STAT,15to49,0,1979,153558.66384709635
STAT,0to14,0,1996,72047.00952901223
SIM,15to49,1,2001,9651
STAT,15to49,0,1978,153588.3753129793
STAT,0to14,0,1997,72033.05808551578
SIM,15to49,1,2004,9656
STAT,15to49,0,1973,153737.09786665736
SIM,15to49,1,2003,9651
STAT,15to49,0,1972,153766.89531565807
SIM,15to49,1,2006,9656
STAT,15to49,0,1975,153677.5616175822
SIM,15to49,1,2005,9650
STAT,15to49,0,1974,153707.32054939246
STAT,15to49,0,1948,154483.57220425076
STAT,15to49,0,1947,154513.41308136485
STAT,15to49,0,1949,154453.76044403398
STAT,15to49,0,1944,154603.20814055647
STAT,15to49,0,1943,154633.21184125898
STAT,15to49,0,1946,154543.29540551486
STAT,15to49,0,1945,154573.2385802632
STAT,15to49,0,1940,154723.58502228797
STAT,15to49,0,1942,154663.28983656818
STAT,15to49,0,1941,154693.43078474284
STAT,15to49,0,1959,154155.63979203353
STAT,15to49,0,1958,154185.52270867536
STAT,15to49,0,1955,154275.0599192068
STAT,15to49,0,1954,154304.85456242316
STAT,15to49,0,1957,154215.37921052505
STAT,15to49,0,1956,154245.22549808287
STAT,15to49,0,1951,154394.17935690747
STAT,15to49,0,1950,154423.9729125018
STAT,15to49,0,1953,154334.63221056573
STAT,15to49,0,1952,154364.39648532198
STAT,15to49,0,1929,155055.3694983975
STAT,15to49,0,1926,155144.74192158657
STAT,15to49,0,1925,155174.4931053712
STAT,15to49,0,1928,155085.25770382214
STAT,15to49,0,1927,155114.98409310903
STAT,15to49,0,1922,155263.35563270038
STAT,15to49,0,1921,155293.43410427828
STAT,15to49,0,1924,155204.14200265877
STAT,15to49,0,1923,155233.7605787622
STAT,15to49,0,1920,155323.36780211542
STAT,15to49,0,1937,154814.32662423342
STAT,15to49,0,1936,154844.56734994624
STAT,15to49,0,1939,154753.84962014778
STAT,15to49,0,1938,154784.0955912596
STAT,15to49,0,1933,154935.28623912242
STAT,15to49,0,1932,154965.3593906174
STAT,15to49,0,1935,154874.73404762463
STAT,15to49,0,1934,154905.10654494478
STAT,15to49,0,1931,154995.35530619993
STAT,15to49,0,1930,155025.23527351444
STAT,15to49,1,1885,9913.596050344879
STAT,15to49,1,1886,9911.83144635679
STAT,15to49,1,1883,9917.517943499699
STAT,15to49,1,1884,9916.007224726294
STAT,15to49,1,1889,9906.107806062471
STAT,15to49,1,1887,9909.874283880616
STAT,15to49,1,1888,9907.98424220978
SIM,50+,0,1854,129334
SIM,50+,0,1855,129670
SIM,50+,0,1856,129641
STAT,15to49,1,1881,9920.984995066758
SIM,50+,0,1857,129609
STAT,15to49,1,1882,9919.217297808615
SIM,50+,0,1858,129568
SIM,50+,0,1859,129551
STAT,15to49,1,1880,9922.652044259727
SIM,0to14,0,2010,71613
SIM,0to14,0,2011,71590
SIM,50+,0,1860,129523
SIM,0to14,0,2012,71578
SIM,50+,0,1861,129497
SIM,0to14,0,2013,71551
SIM,50+,0,1862,129458
SIM,0to14,0,2014,71548
STAT,15to49,1,1896,9891.97003773881
STAT,15to49,1,1897,9889.992405368997
STAT,15to49,1,1894,9895.93942733141
STAT,15to49,1,1895,9893.992425494982
STAT,15to49,1,1898,9888.045776600216
STAT,15to49,1,1899,9886.108069947979
SIM,50+,0,1863,129447
SIM,0to14,0,2015,263
SIM,50+,0,1864,129433
SIM,50+,0,1865,129388
SIM,50+,0,1866,129355
SIM,50+,0,1867,129328
STAT,15to49,1,1892,9899.965632966878
SIM,50+,0,1868,129308
STAT,15to49,1,1893,9897.905524596106
SIM,50+,0,1869,129282
